Handicap,Avg Score to Par,Score by Hole Type - 3,Score by Hole Type - 4,Score by Hole Type - 5,FIR,FIR_Left,FIR_Right,Avg Drive Dist,GIR,GIR % Hyb,GIR % 4i,GIR % 5i,GIR % 6i,GIR % 7i,GIR % 8i,GIR % 9i,GIR % PW,GIR % AW,GIR % SW,GIR % LW,Up Downs,Avg Proximity,Putts per Rd,Make Rate Inside 6ft,2 Putt Pct
20,23.2,4,5.4,6.4,0.479,0.233,0.281,218.8,0.154,0.068,0.06,0.103,0.118,0.169,0.227,0.25,0.348,0.418,0.422,0.47,0.298,19.9,32.6,0.837,0.605
19,21.9,4,5.3,6.3,0.481,0.236,0.278,221.7,0.169,0.074,0.069,0.109,0.128,0.178,0.237,0.267,0.357,0.432,0.436,0.476,0.309,19.4,32.4,0.84,0.605
18,20.7,3.9,5.3,6.2,0.482,0.239,0.275,224.6,0.184,0.08,0.079,0.116,0.14,0.188,0.247,0.285,0.366,0.445,0.45,0.483,0.32,18.9,32.3,0.844,0.605
17,19.4,3.9,5.2,6.1,0.483,0.242,0.272,227.6,0.201,0.086,0.088,0.123,0.151,0.198,0.258,0.302,0.376,0.458,0.464,0.49,0.331,18.4,32.1,0.848,0.604
16,18.2,3.8,5.1,6,0.484,0.245,0.269,230.5,0.218,0.092,0.097,0.13,0.163,0.21,0.27,0.319,0.386,0.472,0.478,0.498,0.342,18,32,0.852,0.604
15,17,3.8,5.1,5.9,0.485,0.247,0.267,233.4,0.237,0.098,0.106,0.136,0.175,0.221,0.283,0.337,0.396,0.485,0.492,0.507,0.353,17.5,31.8,0.856,0.604
14,15.8,3.8,5,5.8,0.487,0.248,0.265,236.3,0.256,0.104,0.115,0.146,0.188,0.234,0.296,0.354,0.407,0.498,0.506,0.516,0.365,17,31.6,0.86,0.604
13,14.6,3.7,4.9,5.7,0.488,0.25,0.263,239.2,0.276,0.11,0.124,0.154,0.2,0.247,0.31,0.372,0.418,0.512,0.521,0.526,0.377,16.6,31.5,0.864,0.603
12,13.5,3.7,4.9,5.6,0.489,0.251,0.261,242.1,0.297,0.116,0.132,0.163,0.213,0.261,0.325,0.389,0.43,0.525,0.535,0.538,0.39,16.1,31.3,0.869,0.603
11,12.4,3.6,4.8,5.6,0.49,0.252,0.259,245,0.319,0.122,0.141,0.173,0.227,0.275,0.34,0.407,0.442,0.538,0.55,0.549,0.402,15.6,31.1,0.873,0.603
10,11.2,3.6,4.7,5.5,0.491,0.252,0.257,248,0.342,0.128,0.15,0.182,0.241,0.29,0.356,0.425,0.454,0.552,0.565,0.562,0.415,15.2,31,0.878,0.603
9,10.2,3.5,4.7,5.4,0.493,0.252,0.256,250.9,0.365,0.135,0.158,0.192,0.255,0.306,0.372,0.442,0.467,0.565,0.58,0.575,0.428,14.7,30.8,0.883,0.603
8,9.1,3.5,4.6,5.3,0.494,0.252,0.255,253.8,0.39,0.141,0.167,0.203,0.269,0.322,0.39,0.46,0.48,0.578,0.595,0.59,0.442,14.3,30.6,0.888,0.602
7,8,3.5,4.5,5.3,0.495,0.251,0.254,256.7,0.415,0.147,0.175,0.214,0.284,0.339,0.407,0.478,0.494,0.592,0.611,0.605,0.455,13.8,30.5,0.893,0.602
6,7,3.4,4.5,5.2,0.496,0.25,0.253,259.6,0.441,0.153,0.183,0.225,0.299,0.356,0.426,0.495,0.508,0.605,0.626,0.62,0.469,13.4,30.3,0.898,0.602
5,6,3.4,4.4,5.1,0.497,0.249,0.253,262.5,0.468,0.159,0.191,0.237,0.314,0.374,0.445,0.513,0.522,0.618,0.642,0.637,0.484,12.9,30.1,0.903,0.602
4,5,3.3,4.3,5.1,0.499,0.248,0.252,265.4,0.496,0.165,0.199,0.249,0.329,0.393,0.465,0.531,0.537,0.632,0.658,0.654,0.498,0.125,29.9,0.908,0.601
3,4,3.3,4.3,5,0.5,0.246,0.252,268.4,0.525,0.171,0.207,0.261,0.345,0.412,0.486,0.549,0.552,0.645,0.674,0.672,0.513,0.12,29.8,0.914,0.601
2,3.1,3.2,4.2,4.9,0.501,0.244,0.252,271.3,0.555,0.177,0.215,0.274,0.362,0.432,0.507,0.566,0.568,0.658,0.69,0.691,0.528,0.116,29.6,0.919,0.601
1,2.2,3.2,4.1,4.9,0.502,0.241,0.252,274.2,0.585,0.183,0.223,0.288,0.378,0.453,0.529,0.584,0.584,0.671,0.706,0.71,0.543,0.112,29.4,0.925,0.601
0,1.3,3.2,4.1,4.8,0.503,0.238,0.253,277.1,0.617,0.189,0.231,0.301,0.395,0.474,0.552,0.602,0.6,0.685,0.722,0.731,0.559,0.107,29.2,0.931,0.6
-1,0.4,3.1,4,4.8,0.505,0.235,0.253,280,0.649,0.195,0.238,0.316,0.412,0.496,0.575,0.62,0.617,0.698,0.739,0.752,0.575,0.103,29.1,0.937,0.6
-2,-0.5,3.1,3.9,4.7,0.506,0.232,0.254,282.9,0.682,0.201,0.246,0.33,0.43,0.519,0.599,0.638,0.634,0.711,0.755,0.774,0.591,0.099,28.9,0.943,0.6
-3,-1.4,3,3.8,4.6,0.507,0.228,0.255,285.8,0.716,0.207,0.253,0.345,0.447,0.542,0.624,0.656,0.652,0.725,0.772,0.796,0.607,0.095,28.7,0.949,0.6
-4,-2.2,3,3.8,4.6,0.508,0.224,0.256,288.8,0.751,0.213,0.261,0.36,0.466,0.566,0.649,0.674,0.67,0.738,0.789,0.82,0.624,0.09,28.5,0.955,0.6
21,24.5,4,5.5,6.5,0.478,0.229,0.284,215.9,0.14,0.062,0.051,0.097,0.107,0.16,0.218,0.233,0.34,0.405,0.409,0.466,0.288,0.204,32.8,0.833,0.605
22,25.8,4.1,5.6,6.6,0.477,0.225,0.288,213,0.127,0.056,0.05,0.092,0.097,0.152,0.209,0.215,0.332,0.392,0.396,0.461,0.278,0.209,32.9,0.83,0.606
23,27.2,4.1,5.6,6.7,0.476,0.221,0.292,210.1,0.114,0.05,0.05,0.087,0.087,0.144,0.201,0.198,0.324,0.379,0.382,0.458,0.269,0.213,33.1,0.827,0.606
24,28.6,4.2,5.7,6.8,0.475,0.216,0.296,207.2,0.103,0.05,0.05,0.083,0.077,0.138,0.194,0.181,0.317,0.365,0.369,0.455,0.259,0.218,33.2,0.824,0.606
25,29.9,4.2,5.8,6.9,0.473,0.211,0.3,204.2,0.092,0.05,0.05,0.079,0.068,0.131,0.188,0.164,0.31,0.352,0.356,0.454,0.25,0.223,33.4,0.821,0.606